28,「バルザック像」「カレーの市民」「考える人」で知られる近世の彫刻家と言えば誰でしょう？,ロダン,ヒョウタン,仙豆（せんず）,イクラちゃん
29,デザイン用語のひとつで、構成の仕方で左右対称のつり合いを表す用語と言えば何？,シンメトリー,ピーターパン,てぶくろ,ひろし
30,「自画像」「はね橋」「ひまわり」で知られる後期印象派の画家と言えば誰でしょう？,ゴッホ,ひらめ,ライト兄弟,鳥山明
31,「最後の晩餐」「モナリザ」で知られるルネッサンスを代表する人物と言えば誰でしょう？,レオナルド・ダ・ビンチ,かかし,正念場（しょうねんば）,江戸川乱歩
32,スポーツの審判の呼び方でサッカーやボクシングはレフリー、相撲は行司、では野球はカタカナ５文字でなんと言うでしょう？,アンパイア,岩手県,ふぐ（マンボウも可）,となりのトトロ
33,1992年に国民栄誉賞を受賞した、漫画「サザエさん」の作者といえば誰？,長谷川町子,明智光秀,（赤）シソ,大山のぶ代
34,人気アニメ「アンパンマン」の作者と言えばズバリ誰でしょう？,やなせたかし,宮里藍,猫の子,ルフィ
35,「サザエさん」に登場する「マスオさん」のフルネームは何？,フグ田マスオ,こんなこといいな,あがり,伊佐坂（さん）
36,1918年に発生した「米騒動」が全国で最初に起こった都道府県はどこ？,富山県,どこでもドア,マグニチュード,野原みさえ
37,奈良時代に東大寺に大仏を作り、全国各地に国分寺をつくらせた天皇といえば？,聖武天皇,かついで（かついだではない）,ゆみ,エルリック
38,16世紀日本に初めて鉄砲が伝わったとされる島と言えば？,種子島,ＫＡＢＡ．ちゃん,なすび,カエル
39,聖徳太子が定めた憲法は何条の憲法だったでしょう？,１７条,５回,スッポン,ウクレレ
40,日本の島の中で最南端にある島と言えば？,沖ノ鳥島,ミュージック,地球,ボイスパーカッション
41,日本の国の鳥、いわゆる「国鳥」といえば何でしょう？,きじ,みそ,プリーツ,アカペラ
42,バスケットボールのゴールの直径は何センチでしょう？,４５ｃｍ,ラッパ,ピーマン,ＯＲＡＮＧＥ　ＲＡＮＧＥ
43,リレーのときにバトンを渡す場所のことを特になんと言うでしょう？,テークオーバーゾーン,スコアレスドロー,アイロン,アコースティックギター
44,オリンピックの旗「五輪旗」に描かれている５つの輪の色を５色全て答えなさい。,赤青黄緑黒,たまごっち,Ｂ,kiroro（キロロ）
45,障害者による国際競技大会で４年に一度オリンピックの開催地で開かれる大会を何ピックと言うでしょう？,パラリンピック,女子十二楽坊,建国記念の日,森田一義（もりたかずよし）
46,ずばりマラソンで走る距離は何キロでしょうか？,４２.１９５ｋｍ,スエズ運河,みどりの日,aiko
47,ラジオ体操第１で最後に行なう運動は何でしょう？,深呼吸,水星,憲法記念日,大塚愛
48,ソプラノリコーダーで全部の穴をふさいで吹くと出る音階は何でしょう？,ド,こしょう,文化の日,細木数子
49,「手のひらを太陽に」の１番の歌詞で生きている友達はみみず、おけらと何？,あめんぼ,エジソン,ハッピーマンデー制度,上
50,「荒城の月」の作曲者と言えば誰でしょう？,滝廉太郎,納豆,元日（元旦は×）,奥田民生
